parent_id,child_id,probability
0,1,0.0594722
0,2,0.0582107
0,3,0.0592132
0,4,0.0611496
0,5,0.0758405
0,6,0.059208
0,7,0.0609452
0,8,0.0941984
0,9,0.0664306
0,10,0.0667267
0,11,0.0581045
0,12,0.0619163
0,13,0.0895049
0,14,0.0612893
0,15,0.06779
